# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun May 17 13:39:03 2026
#
# User preference: *
#
# CONSTRAINT:  where (discoverymethod like '%Transit%'
# CONSTRAINT:  and disc_year = 2026
# CONSTRAINT:  and soltype like '%confirmed%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
LHS 1903 b,LHS 1903,1,1,4,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260211271W/abstract target=ref>Wilson et al. 2026</a>,2.15550980000,0.0265600000,1.38200000,0.12329399,3.28000000,0.01032003,Mass,0.015000,66.6600,796.00,0,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260211271W/abstract target=ref>Wilson et al. 2026</a>,M,3664.00,0.539000,0.538000,-0.1100,[Fe/H],4.750000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h11m27.80s,107.8658260,+48d19m40.56s,48.3279327,35.69170000,12.2300000,8.2120000,11.3944000,2026-02-26,2026-02,2026-02-26
LHS 1903 c,LHS 1903,1,1,4,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260211271W/abstract target=ref>Wilson et al. 2026</a>,6.22618500000,0.0538700000,2.04600000,0.18253221,4.55000000,0.01431590,Mass,0.089000,16.2000,559.00,0,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260211271W/abstract target=ref>Wilson et al. 2026</a>,M,3664.00,0.539000,0.538000,-0.1100,[Fe/H],4.750000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h11m27.80s,107.8658260,+48d19m40.56s,48.3279327,35.69170000,12.2300000,8.2120000,11.3944000,2026-02-26,2026-02,2026-02-26
LHS 1903 d,LHS 1903,1,1,4,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260211271W/abstract target=ref>Wilson et al. 2026</a>,12.56628700000,0.0860400000,2.50000000,0.22303545,5.96000000,0.01875226,Mass,0.112000,6.3500,442.00,0,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260211271W/abstract target=ref>Wilson et al. 2026</a>,M,3664.00,0.539000,0.538000,-0.1100,[Fe/H],4.750000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h11m27.80s,107.8658260,+48d19m40.56s,48.3279327,35.69170000,12.2300000,8.2120000,11.3944000,2026-02-26,2026-02,2026-02-26
LHS 1903 e,LHS 1903,1,1,4,Transit,2026,CHaracterising ExOPlanets Satellite (CHEOPS),Published Confirmed,0,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260211271W/abstract target=ref>Wilson et al. 2026</a>,29.31773000000,0.1513500000,1.73200000,0.15451896,5.79000000,0.01821738,Mass,0.014000,2.0500,333.00,0,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260211271W/abstract target=ref>Wilson et al. 2026</a>,M,3664.00,0.539000,0.538000,-0.1100,[Fe/H],4.750000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h11m27.80s,107.8658260,+48d19m40.56s,48.3279327,35.69170000,12.2300000,8.2120000,11.3944000,2026-02-26,2026-02,2026-02-26
TIC 117642575 b,TIC 117642575,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,4.94459060181,,2.82716337,0.25222306,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,5719.98,1.081020,,,,4.349100,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h37m55.22s,9.4800698,-37d03m58.65s,-37.0662905,188.75800000,11.0290000,9.4510000,10.8411000,2026-04-23,2026-03,2026-04-23
TIC 139702105 b,TIC 139702105,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,6.83601903383,,2.45316949,0.21885750,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,5742.35,1.254230,,,,4.292700,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h25m59.53s,66.4980340,-18d12m52.36s,-18.2145450,91.78840000,9.6510000,7.9080000,9.4564900,2026-04-23,2026-03,2026-04-23
TIC 142589416 b,TIC 142589416,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,2.09518466313,,2.67899519,0.23900435,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,4396.27,0.713832,,,,4.673500,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h12m58.55s,168.2439697,+73d49m48.52s,73.8301439,168.93300000,14.0210000,10.8110000,13.5750000,2026-04-23,2026-03,2026-04-23
TIC 147027702 b,TIC 147027702,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GAJDOS_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...708A.189G/abstract target=ref>Gajdo&scaron; et al. 2026</a>,44.40523000000,0.2740000000,10.92875618,0.97500000,346.43296363,1.09000000,Mass,0.127000,,863.00,0,<a refstr=GAJDOS_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...708A.189G/abstract target=ref>Gajdo&scaron; et al. 2026</a>,,6410.00,2.136000,1.406000,-0.0800,[Fe/H],3.926000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h47m05.49s,161.7728559,-43d55m54.47s,-43.9317971,457.18600000,11.2860000,9.8010000,10.9899000,2026-04-30,2026-04,2026-04-30
TIC 153919886 b,TIC 153919886,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,2.10510492329,,2.70601108,0.24141455,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,4137.16,0.591697,,,,4.668800,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h27m22.58s,171.8440734,+68d10m51.76s,68.1810449,132.33000000,14.4060000,10.7170000,13.7447000,2026-04-23,2026-03,2026-04-23
TIC 154870955 b,TIC 154870955,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,7.96987471280,,3.09467466,0.27608886,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,4739.58,0.724328,,,,4.568000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h46m58.96s,191.7456685,+88d49m47.55s,88.8298759,226.46300000,13.4300000,11.0150000,13.1947000,2026-04-23,2026-03,2026-04-23
